x1,x2,x3,,,,starpiba X1,starpiba X2,Starpiba X3
-0.58,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.46,-1.14,0.06
-0.58,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.46,-1.13,0.06
-0.59,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.45,-1.13,0.06
-0.59,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.45,-1.13,0.06
-0.60,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.44,-1.13,0.06
-0.61,0.12,-0.07,-1.03994722,1.25370638,-0.12532982,0.43,-1.13,0.06
-0.61,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.43,-1.13,0.05
-0.62,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.42,-1.13,0.05
-0.62,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.42,-1.13,0.05
-0.63,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.41,-1.12,0.05
-0.63,0.13,-0.07,-1.03994722,1.25370638,-0.12532982,0.41,-1.12,0.05
-0.64,0.13,-0.08,-1.03994722,1.25370638,-0.12532982,0.40,-1.12,0.05
-0.64,0.13,-0.08,-1.03994722,1.25370638,-0.12532982,0.40,-1.12,0.05
-0.65,0.13,-0.08,-1.03994722,1.25370638,-0.12532982,0.39,-1.12,0.05
-0.65,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.39,-1.12,0.05
-0.66,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.38,-1.12,0.05
-0.66,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.38,-1.12,0.05
-0.67,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.37,-1.11,0.04
-0.67,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.37,-1.11,0.04
-0.67,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.37,-1.11,0.04
-0.68,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.36,-1.11,0.04
-0.68,0.14,-0.08,-1.03994722,1.25370638,-0.12532982,0.36,-1.11,0.04
-0.69,0.15,-0.08,-1.03994722,1.25370638,-0.12532982,0.35,-1.11,0.04
-0.69,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.35,-1.11,0.04
-0.70,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.34,-1.11,0.04
-0.70,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.34,-1.10,0.04
-0.70,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.34,-1.10,0.04
-0.71,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.33,-1.10,0.04
-0.71,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.33,-1.10,0.04
-0.71,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.33,-1.10,0.03
-0.72,0.15,-0.09,-1.03994722,1.25370638,-0.12532982,0.32,-1.10,0.03
-0.72,0.16,-0.09,-1.03994722,1.25370638,-0.12532982,0.32,-1.10,0.03
-0.72,0.16,-0.09,-1.03994722,1.25370638,-0.12532982,0.32,-1.10,0.03
-0.73,0.16,-0.09,-1.03994722,1.25370638,-0.12532982,0.31,-1.10,0.03
-0.73,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.31,-1.10,0.03
-0.73,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.31,-1.09,0.03
-0.74,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.30,-1.09,0.03
-0.74,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.30,-1.09,0.03
-0.74,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.30,-1.09,0.03
-0.75,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.29,-1.09,0.03
-0.75,0.16,-0.10,-1.03994722,1.25370638,-0.12532982,0.29,-1.09,0.03
-0.75,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.29,-1.09,0.02
-0.76,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.28,-1.09,0.02
-0.76,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.28,-1.09,0.02
-0.76,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.28,-1.09,0.02
-0.76,0.17,-0.10,-1.03994722,1.25370638,-0.12532982,0.28,-1.08,0.02
-0.77,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.27,-1.08,0.02
-0.77,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.27,-1.08,0.02
-0.77,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.27,-1.08,0.02
-0.77,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.27,-1.08,0.02
-0.78,0.17,-0.11,-1.03994722,1.25370638,-0.12532982,0.26,-1.08,0.02
-0.78,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.26,-1.08,0.02
-0.78,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.26,-1.08,0.02
-0.78,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.26,-1.08,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.08,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.07,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.07,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.07,0.01
-0.79,0.18,-0.11,-1.03994722,1.25370638,-0.12532982,0.25,-1.07,0.01
-0.80,0.18,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.80,0.18,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.80,0.18,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.80,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.80,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.24,-1.07,0.01
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.07,0.01
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.07,0.01
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.81,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.23,-1.06,0.00
-0.82,0.19,-0.12,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.19,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.19,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.82,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.22,-1.06,0.00
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.13,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.83,0.20,-0.14,-1.03994722,1.25370638,-0.12532982,0.21,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.05,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.01
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
-0.84,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.20,-1.04,-0.02
-0.85,0.21,-0.14,-1.03994722,1.25370638,-0.12532982,0.19,-1.04,-0.02
-0.85,0.21,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.04,-0.02
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.04,-0.02
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.04,-0.02
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.04,-0.02
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.04,-0.02
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.04,-0.02
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.03,-0.02
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.03,-0.02
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.03,-0.03
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.03,-0.03
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.03,-0.03
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.03,-0.03
-0.85,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.19,-1.03,-0.03
-0.86,0.22,-0.15,-1.03994722,1.25370638,-0.12532982,0.18,-1.03,-0.03
-0.86,0.23,-0.15,-1.03994722,1.25370638,-0.12532982,0.18,-1.03,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.03,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.03,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.03,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.03,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.03,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.03
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
-0.86,0.23,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
-0.86,0.24,-0.16,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
-0.86,0.24,-0.17,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
-0.86,0.24,-0.17,-1.03994722,1.25370638,-0.12532982,0.18,-1.02,-0.04
X2,,,,,,,,
2.000000000000000042e-03,,,,,,,,
3.999752013629750622e-03,,,,,,,,
5.998760402043726986e-03,,,,,,,,
7.996530738131221033e-03,,,,,,,,
9.992570756766719700e-03,,,,,,,,
1.198639130349162668e-02,,,,,,,,
1.397750727614850870e-02,,,,,,,,
1.596543855403696408e-02,,,,,,,,
1.794971090926955615e-02,,,,,,,,
1.992985689517529774e-02,,,,,,,,
2.190541670682406156e-02,,,,,,,,
2.387593900902407890e-02,,,,,,,,
2.584098172747149869e-02,,,,,,,,
2.780011279910033634e-02,,,,,,,,
2.975291087808641655e-02,,,,,,,,
3.169896599439373658e-02,,,,,,,,
3.363788016220850552e-02,,,,,,,,
3.556926793607800841e-02,,,,,,,,
3.749275691305093555e-02,,,,,,,,
3.940798817959589168e-02,,,,,,,,
4.131461670254886476e-02,,,,,,,,
4.321231166380169048e-02,,,,,,,,
4.510075673888708225e-02,,,,,,,,
4.697965032003553060e-02,,,,,,,,
4.884870568467195029e-02,,,,,,,,
5.070765111068079728e-02,,,,,,,,
5.255622994009553905e-02,,,,,,,,
5.439420059315908801e-02,,,,,,,,
5.622133653495528516e-02,,,,,,,,
5.803742619702684929e-02,,,,,,,,
5.984227285657266887e-02,,,,,,,,
6.163569447595759060e-02,,,,,,,,
6.341752350537195604e-02,,,,,,,,
6.518760665154803291e-02,,,,,,,,
6.694580461547805506e-02,,,,,,,,
6.869199180208619693e-02,,,,,,,,
7.042605600478706041e-02,,,,,,,,
7.214789806781889137e-02,,,,,,,,
7.385743152917356724e-02,,,,,,,,
7.555458224686027735e-02,,,,,,,,
7.723928801113839893e-02,,,,,,,,
7.891149814524034412e-02,,,,,,,,
8.057117309697950369e-02,,,,,,,,
8.221828402350456200e-02,,,,,,,,
8.385281237132116705e-02,,,,,,,,
8.547474945355838793e-02,,,,,,,,
8.708409602631098090e-02,,,,,,,,
8.868086186574258845e-02,,,,,,,,
9.026506534748959809e-02,,,,,,,,
9.183673302976326502e-02,,,,,,,,
9.339589924140834221e-02,,,,,,,,
9.494260567604266565e-02,,,,,,,,
9.647690099327281554e-02,,,,,,,,
9.799884042785832194e-02,,,,,,,,
9.950848540758004679e-02,,,,,,,,
1.010059031804587670e-01,,,,,,,,
1.024911664518669552e-01,,,,,,,,
1.039643530319809550e-01,,,,,,,,
1.054255454939319880e-01,,,,,,,,
1.068748308429324501e-01,,,,,,,,
1.083123001965791699e-01,,,,,,,,
1.097380484764667458e-01,,,,,,,,
1.111521741111822642e-01,,,,,,,,
1.125547787506968461e-01,,,,,,,,
1.139459669921195212e-01,,,,,,,,
1.153258461167345206e-01,,,,,,,,
1.166945258382037914e-01,,,,,,,,
1.180521180617822435e-01,,,,,,,,
1.193987366543633188e-01,,,,,,,,
1.207344972251469112e-01,,,,,,,,
1.220595169166998756e-01,,,,,,,,
1.233739142061610894e-01,,,,,,,,
1.246778087163282062e-01,,,,,,,,
1.259713210363511415e-01,,,,,,,,
1.272545725517479631e-01,,,,,,,,
1.285276852834519867e-01,,,,,,,,
1.297907817355941906e-01,,,,,,,,
1.310439847517220757e-01,,,,,,,,
1.322874173791550312e-01,,,,,,,,
1.335212027411767921e-01,,,,,,,,
1.347454639167670609e-01,,,,,,,,
1.359603238275773895e-01,,,,,,,,
1.371659051318601663e-01,,,,,,,,
1.383623301250644089e-01,,,,,,,,
1.395497206468172546e-01,,,,,,,,
1.407281979940164518e-01,,,,,,,,
1.418978828397651770e-01,,,,,,,,
1.430588951578879164e-01,,,,,,,,
1.442113541527730580e-01,,,,,,,,
1.453553781942955314e-01,,,,,,,,
1.464910847575804087e-01,,,,,,,,
1.476185903673759847e-01,,,,,,,,
1.487380105468129876e-01,,,,,,,,
1.498494597703342868e-01,,,,,,,,
1.509530514205870699e-01,,,,,,,,
1.520488977490774274e-01,,,,,,,,
1.531371098403949693e-01,,,,,,,,
1.542177975798224021e-01,,,,,,,,
1.552910696241527055e-01,,,,,,,,
1.563570333755433805e-01,,,,,,,,
1.574157949582447868e-01,,,,,,,,
1.584674591980461955e-01,,,,,,,,
1.595121296042897596e-01,,,,,,,,
1.605499083543095729e-01,,,,,,,,
1.615808962801588144e-01,,,,,,,,
1.626051928574943628e-01,,,,,,,,
1.636228961964940609e-01,,,,,,,,
1.646341030346875345e-01,,,,,,,,
1.656389087315869590e-01,,,,,,,,
1.666374072650093630e-01,,,,,,,,
1.676296912289873819e-01,,,,,,,,
1.686158518331699052e-01,,,,,,,,
1.695959789036191045e-01,,,,,,,,
1.705701608849145845e-01,,,,,,,,
1.715384848434799159e-01,,,,,,,,
1.725010364720508393e-01,,,,,,,,
1.734579000952083117e-01,,,,,,,,
1.744091586759035639e-01,,,,,,,,
1.753548938229059773e-01,,,,,,,,
1.762951857991077453e-01,,,,,,,,
1.772301135306230679e-01,,,,,,,,
1.781597546166225343e-01,,,,,,,,
1.790841853398462968e-01,,,,,,,,
1.800034806777429108e-01,,,,,,,,
1.809177143141830757e-01,,,,,,,,
1.818269586517004821e-01,,,,,,,,
1.827312848242143017e-01,,,,,,,,
1.836307627101903539e-01,,,,,,,,
1.845254609462002038e-01,,,,,,,,
1.854154469408398620e-01,,,,,,,,
1.863007868889713925e-01,,,,,,,,
1.871815457862534005e-01,,,,,,,,
1.880577874439274821e-01,,,,,,,,
1.889295745038303276e-01,,,,,,,,
1.897969684536023049e-01,,,,,,,,
1.906600296420651042e-01,,,,,,,,
1.915188172947429879e-01,,,,,,,,
1.923733895295031970e-01,,,,,,,,
1.932238033722925297e-01,,,,,,,,
1.940701147729490539e-01,,,,,,,,
1.949123786210681664e-01,,,,,,,,
1.957506487619046220e-01,,,,,,,,
1.965849780122921886e-01,,,,,,,,
1.974154181765646610e-01,,,,,,,,
1.982420200624623041e-01,,,,,,,,
1.990648334970092637e-01,,,,,,,,
1.998839073423481771e-01,,,,,,,,
2.006992895115191633e-01,,,,,,,,
2.015110269841713930e-01,,,,,,,,
2.023191658221960842e-01,,,,,,,,
2.031237511852706512e-01,,,,,,,,
2.039248273463042938e-01,,,,,,,,
2.047224377067762835e-01,,,,,,,,
2.055166248119587313e-01,,,,,,,,
2.063074303660161757e-01,,,,,,,,
2.070948952469751081e-01,,,,,,,,
2.078790595215568859e-01,,,,,,,,
2.086599624598683145e-01,,,,,,,,
2.094376425499444860e-01,,,,,,,,
2.102121375121388802e-01,,,,,,,,
2.109834843133564508e-01,,,,,,,,
2.117517191811256749e-01,,,,,,,,
2.125168776175058727e-01,,,,,,,,
2.132789944128268556e-01,,,,,,,,
2.140381036592576836e-01,,,,,,,,
2.147942387642025053e-01,,,,,,,,
2.155474324635208994e-01,,,,,,,,
2.162977168345712187e-01,,,,,,,,
2.170451233090751331e-01,,,,,,,,
2.177896826858022050e-01,,,,,,,,
2.185314251430734434e-01,,,,,,,,
2.192703802510830580e-01,,,,,,,,
2.200065769840378049e-01,,,,,,,,
2.207400437321136721e-01,,,,,,,,
2.214708083132296834e-01,,,,,,,,
2.221988979846388768e-01,,,,,,,,
2.229243394543367340e-01,,,,,,,,
2.236471588922873399e-01,,,,,,,,
2.243673819414679360e-01,,,,,,,,
2.250850337287325087e-01,,,,,,,,
2.258001388754950767e-01,,,,,,,,
2.265127215082339551e-01,,,,,,,,
2.272228052688176347e-01,,,,,,,,
2.279304133246538855e-01,,,,,,,,
2.286355683786629178e-01,,,,,,,,
2.293382926790763221e-01,,,,,,,,
2.300386080290629520e-01,,,,,,,,
2.307365357961835006e-01,,,,,,,,
2.314320969216751289e-01,,,,,,,,
2.321253119295680900e-01,,,,,,,,
2.328162009356356810e-01,,,,,,,,
2.335047836561797430e-01,,,,,,,,
2.341910794166531806e-01,,,,,,,,
2.348751071601214435e-01,,,,,,,,
2.355568854555650793e-01,,,,,,,,
2.362364325060249404e-01,,,,,,,,
2.369137661565923481e-01,,,,,,,,
